xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4
0.0,81.0,10.0,81.0,0.0941176563501358,0.113725498318672,0.14,0.013176471889019013,44.02556075736003,56.0,80.0,56.0,80.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,3.2015621187164243,41.0,68.0,41.0,68.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,19.474342094150447,47.0,77.0,47.0,77.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,8.902246907382429,59.0,94.0,59.0,94.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,12.539936203984453,74.0,99.0,74.0,99.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,25.927784324928346,0.758,0.618,0.533,0.467,0.567,0.459,0.551,0.46,0.558,0.467
35.0,114.0,35.0,114.0,0.168627455830574,0.168627455830574,0.158,0.026643138021230695,36.78654645383282,35.0,56.0,35.0,56.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,32.60751447136074,58.0,74.0,58.0,74.0,0.152941182255745,0.152941182255745,0.1,0.015294118225574499,9.394147114027968,70.0,91.0,70.0,91.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,18.117670931993437,54.0,101.0,54.0,101.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,18.5,64.0,113.0,52.5,113.0,0.172549024224281,0.176470592617989,0.142,0.0245019614398479,30.53686296920494,0.676,0.518,0.675,0.576,1.001,0.901,0.534,0.434,0.5,0.401
55.0,84.0,55.0,84.0,0.172549024224281,0.172549024224281,0.134,0.023121569246053655,1.8027756377319946,62.0,82.0,62.0,82.0,0.172549024224281,0.172549024224281,0.116,0.020015686810016597,8.0156097709407,46.0,87.0,46.0,87.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,9.17877987534291,62.0,101.0,62.0,101.0,0.172549024224281,0.172549024224281,0.109,0.01880784364044663,20.155644370746373,66.0,93.0,66.0,93.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,15.945218719101975,58.0,114.0,58.0,114.0,0.180392161011696,0.180392161011696,0.116,0.020925490677356738,31.752952618614856,0.651,0.517,0.667,0.551,0.575,0.484,0.584,0.475,0.493,0.393
43.0,51.0,43.0,51.0,0.172549024224281,0.172549024224281,0.125,0.021568628028035126,33.36540124140574,30.0,87.0,30.0,87.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,24.41823089414956,88.0,88.0,88.0,88.0,0.109803929924965,0.109803929924965,0.108,0.01185882443189622,34.44198019858905,65.0,103.0,65.0,103.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,23.264780248263683,42.0,96.0,42.0,96.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,18.062391868188442,68.0,92.0,68.0,92.0,0.172549024224281,0.172549024224281,0.125,0.021568628028035126,16.91892431568863,0.601,0.476,0.742,0.651,0.692,0.584,0.484,0.409,0.501,0.41
52.0,53.0,52.0,53.0,0.172549024224281,0.172549024224281,0.133,0.022949020221829375,29.567718883945037,52.0,110.0,52.0,110.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,27.572631357924475,88.0,74.0,88.0,74.0,0.0823529437184334,0.0823529437184334,0.142,0.011694118008017541,35.04639781775011,44.0,78.0,44.0,78.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,10.965856099730654,32.0,112.0,32.0,112.0,0.176470592617989,0.176470592617989,0.133,0.02347058881819254,36.800135869314396,70.0,102.0,70.0,102.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,25.22399651125888,0.584,0.451,0.525,0.425,0.593,0.451,0.576,0.51,0.742,0.609
55.0,58.0,55.0,58.0,0.172549024224281,0.172549024224281,0.133,0.022949020221829375,24.520399670478458,61.0,107.0,61.0,107.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,25.480384612481814,100.0,85.0,100.0,85.0,0.0823529437184334,0.0823529437184334,0.1,0.00823529437184334,46.06788469204984,47.0,118.0,47.0,118.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,36.18355980276125,79.0,84.0,79.0,84.0,0.172549024224281,0.172549024224281,0.133,0.022949020221829375,25.04495957273639,70.0,89.0,70.0,89.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,17.269916039170543,0.659,0.526,0.65,0.575,0.785,0.685,0.659,0.551,0.617,0.484
66.0,80.0,66.0,80.0,0.180392161011696,0.180392161011696,0.125,0.022549020126462,12.257650672131263,48.0,92.0,48.0,92.0,0.164705887436867,0.164705887436867,0.109,0.017952941730618503,11.236102527122116,49.0,96.0,49.0,96.0,0.15686275064945202,0.15686275064945202,0.117,0.01835294182598589,14.396180048887969,57.0,104.0,57.0,104.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,21.70829334609241,57.0,96.0,57.0,96.0,0.176470592617989,0.176470592617989,0.093,0.016411765113472976,13.82931668593933,29.0,94.0,29.0,94.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,27.518175811634027,0.617,0.492,0.726,0.617,0.618,0.501,0.559,0.468,0.592,0.499
28.0,92.0,28.0,92.0,0.149019613862038,0.149019613862038,0.124,0.01847843211889271,27.681221071332818,59.0,99.0,59.0,99.0,0.152941182255745,0.152941182255745,0.099,0.015141177043318755,17.240939649566666,64.0,102.0,64.0,102.0,0.164705887436867,0.164705887436867,0.1,0.0164705887436867,21.914607000811127,49.0,92.0,49.0,92.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,10.735455276791944,62.0,87.0,62.0,87.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,9.17877987534291,35.0,117.0,35.0,117.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,39.38591118661596,0.626,0.502,0.709,0.61,0.575,0.475,0.618,0.535,0.542,0.468
55.0,39.0,55.0,39.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,43.51149273467873,27.0,75.0,27.0,75.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,28.02231253840411,83.0,104.0,83.0,104.0,0.125490203499794,0.125490203499794,0.091,0.011419608518481254,36.10055401236939,55.0,71.0,55.0,71.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,11.543396380615196,54.0,156.0,54.0,156.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,73.5,42.0,99.0,42.0,99.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,20.402205763103165,0.584,0.476,0.634,0.559,0.584,0.493,0.525,0.434,0.492,0.4
28.0,81.0,28.0,81.0,0.160784319043159,0.160784319043159,0.11,0.017686275094747492,26.043233286210835,33.0,122.0,33.0,122.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,44.73533279187716,66.0,79.0,66.0,79.0,0.15686275064945202,0.15686275064945202,0.067,0.010509804293513286,12.5,44.0,93.0,44.0,93.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,14.5,73.0,95.0,73.0,95.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,22.74313083108832,58.0,100.0,58.0,100.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,17.95132307101624,0.726,0.616,0.817,0.751,0.843,0.776,0.609,0.543,0.617,0.509
